Trainsize,MAE,Std
250,5.07961650874366,0.1676
500,4.44879127709208,0.1559
1000,3.67776394740332,0.03974
2000,3.16417898278088,0.0516
4000,2.70996486394079,0.0334
6000,2.30627557100046,0.0097
