Name,idx,Value
Ag_5_59,9767,22.8389410562813
Pt_8_56,25036,-37.3006354831159
Au_43_66,1776,5.38
Au_55_58,12399,3.60237025469542
Ag_1_40,7781,16.7101317197084
Pd_1_42,4500,-36.48
Ag_40_52,8946,12.3064816445112
Ag_14_72,7430,10.337859660387
Ni_47_58,18666,-69.0659001246095
Pd_29_53,4986,-38.53
Ni_10_79,16369,-68.2157111056149
Pd_34_56,5258,-42.5
Cu_40_60,3012,-19.7397
Ni_32_62,17849,-68.1257996857166
Pd_13_90,20064,-27.3804581724107
Pt_26_56,6759,-47.36
Ag_39_48,430,6.88048
Ni_49_63,18754,-71.0576757900417
Pt_29_66,22778,-45.053028460592
Ag_3_50,8903,15.5143913961947
Cu_56_68,15362,9.51454296335578
Cu_48_87,15052,-17.2595378160477
Cu_57_85,15399,-8.30112585425377
Au_1_28,1058,8.6
Cu_9_33,3372,-10.09
Pt_13_33,21792,-44.6555421166122
Ag_43_62,9062,14.5532052591443
Pd_43_86,20707,-44.6752454042435
Au_26_85,11404,-3.16121816262603
Pd_31_48,5134,-40.51
Au_57_66,12476,3.80171141028404
Cu_2_90,14351,5.23039655387402
Ni_1_26,16972,-54.9998689889908
Pt_23_37,22441,-41.1966159194708
Pd_9_83,21549,-34.5260230004787
Au_2_68,1382,16.26
Ag_23_63,8045,21.5783003866672
Ag_25_47,229,16.46
Ag_2_13,8391,11.3167056776583
Cu_4_30,15091,16.7772779837251
Au_59_71,12540,15.8239190578461
Pt_22_90,22433,-30.4326595924795
Pd_39_53,5430,-44.51
Pt_1_28,22204,-33.1028246320784
Pt_0_13,6429,-30.38
Ag_60_67,9809,27.8353120721877
Ni_7_82,19755,-66.2511032298207
Ni_35_82,18036,-61.3296767994761
Cu_6_44,15755,-8.11356255412102
Pt_1_25,6654,-32.3826
Cu_34_83,14534,-10.1719327792525
Au_53_88,12357,-0.291289322078228
Ni_19_50,16914,-70.4811669923365
Ni_67_80,19402,-48.3041184656322
Au_20_28,11112,4.39108760282397
Ag_53_79,9522,25.97006168589
Pt_6_11,24630,-41.0749613679946
Ni_32_82,17867,-65.4329945221543
Pt_28_81,22731,-34.8791297227144
Ag_42_71,509,24.1736
Au_7_81,13142,9.70204690098762
Ag_36_52,373,16.21
Ni_44_69,18544,-68.5187605209649
Cu_27_81,14218,-9.59548621624708
Au_31_89,11650,2.78469714894891
Au_0_76,10574,7.02446453645825
Ni_2_10,17637,-70.9821121394634
Pd_55_88,20963,-40.3317302688956
Pd_3_64,5507,-39.04
Pt_14_33,21840,-47.2755204252899
Pd_69_79,21241,-38.0319883003831
Pd_27_86,20361,-47.64772888273
Ag_2_28,8404,24.4363428503275
Pt_17_26,22013,-40.0802934169769
Cu_29_40,2706,-19.9072
Cu_72_74,15824,-15.8142918162048
Pt_87_89,25002,-54.9868348501623
Cu_15_82,13615,-1.8618660196662
Ni_0_22,16227,-49.4344367422164
Ag_28_39,8291,14.7973232492805
Pd_45_48,5668,-48.01
Cu_72_82,15832,-10.3117731362581
Ni_27_33,17463,-68.9987098276615
Cu_1_1,13830,11.8869000300765
Pd_32_75,20465,-38.2930797934532
Pt_2_10,6792,-46.05
Pd_5_89,21059,-36.1012281067669
Pd_61_89,21097,-45.0440478511155
Ni_25_70,17373,-67.4591983892024
Pd_46_61,5707,-49.45
Pd_35_54,5293,-39.33
Pd_17_85,20136,-41.5991882570088
Ni_4_47,18809,-60.5433209165931
Au_3_84,11902,1.36935439705849
Cu_27_50,14199,-8.62181116640568
Ni_11_19,16387,-68.2836951352656
Pd_39_78,20601,-39.8338796384633
Au_11_42,804,-3.65
Pd_41_59,5565,-45.85
Cu_15_83,13616,-8.70850718766451
Pt_2_19,22806,-46.1167977154255
Au_25_55,11340,6.59922284260392
Cu_22_78,14017,5.12010327354074
Cu_67_78,15684,18.8722749687731
Ni_17_72,16817,-69.9372792579234
Au_58_61,1947,7.04
Ni_56_71,19038,-45.3370515033603
Ni_8_49,19859,-57.889827772975
Ni_87_88,19822,-70.4342023283243
Ni_10_70,16360,-69.4661878831685
Pt_80_80,24944,-32.761291757226
Cu_19_29,2417,-15.4789
Au_40_77,11920,7.7453092224896
Pt_31_55,22952,-42.9969384670258
Au_16_41,10885,8.01049516350031
Cu_48_51,3131,-18.08
Pt_18_20,6620,-29.1649
Ag_79_82,10279,11.9390097633004
Ni_15_34,16661,-63.1468846574426
Cu_53_64,3207,3.52
Pt_37_78,23304,-44.7534362003207
Ni_48_88,18737,-76.1430954113603
Ag_14_65,7424,19.310137283057
Ag_33_60,8620,15.3474797308445
Au_67_84,12815,6.80345057696104
Ni_74_85,19610,-68.941084176302
Ni_20_23,17040,-48.8001350238919
Au_0_35,714,11.62
Pt_66_79,24551,-39.9024415537715
Cu_41_49,3024,-17.821
Pt_37_75,23301,-45.2791367471218
Pd_7_71,6297,-24.4
Pt_6_6,6983,-41.06
Pt_42_44,23603,-51.0557437166572
Ni_57_83,19084,-62.5910448543727
Pt_40_65,23526,-47.3372112289071
Ni_1_34,3515,-41.6136
Ag_33_51,8611,17.7924237139523
Pt_80_90,24954,-38.5416809134185
Ag_21_42,182,13.25
Pd_27_55,4901,-40.22
Cu_85_86,16074,-8.99643016606569
Au_73_86,12996,3.13480336591601
Au_14_75,10804,-0.766513891518116
Pd_38_42,5386,-50.69
Pt_12_36,21750,-46.3023563586175
Pd_19_66,4467,-36.91
Ag_47_78,9217,15.9278016798198
Ni_39_60,18221,-72.1363411955535
Ni_14_19,16582,-70.2911306209862
Au_36_73,11753,-2.15883005782962
Pd_35_66,5305,-38.24
Ag_1_71,7813,47.5160028226674
Cu_38_41,2931,-25.7447
Ag_39_78,8860,19.2484249398112
Ag_77_85,10257,12.7347928769887
Ag_8_28,10429,33.0064637437463
Pt_60_74,24401,-44.1577851772308
Ag_41_53,8980,17.9386986717582
Au_8_71,2063,10.15
Pd_53_67,5929,-37.8
Au_45_51,1812,0.97
Ag_40_85,8969,10.4125107340515
Cu_23_86,14091,-2.48230184987187
Ag_12_37,7287,14.2308673411608
Pd_2_45,5043,-44.54
Pd_26_38,4840,-46.72
Au_15_33,10830,2.27589750289917
Pd_31_66,5152,-35.65
Cu_32_36,14467,-12.605731330812
Au_33_33,1445,-1.97
Ni_83_90,19802,-55.0258495621383
Ag_47_57,548,13.56
Pt_39_76,23401,-46.7341303005815
Cu_18_66,2407,15.6
Ni_82_87,19791,-76.1432272233069
Cu_61_85,15552,-3.68677685782313
Ni_40_83,18377,-65.9773728698492
Cu_10_55,2162,-14.42
Au_20_59,1103,0.96
Pd_51_57,5881,-38.86
Pt_44_72,23725,-47.0866566672921
Pt_44_70,23723,-48.4662963971496
Ni_42_56,18448,-68.5184641033411
Au_34_88,11716,-3.06706614419818
Ni_63_68,19290,-58.6981147415936
Pt_68_89,24606,-50.2091352567077
Pt_18_67,22113,-34.0469352379441
Cu_4_47,15109,-5.3080411106348
Cu_57_73,15387,-1.94323545694351
Pd_5_68,6086,-29.65
Pd_52_53,5896,-36.46
Pd_20_60,4572,-28.88
Ag_23_26,198,35.84
Ni_62_83,19281,-55.1960554979742
Ni_31_53,17787,-61.3211931139231
Ni_22_74,17201,-56.7011080943048
Cu_44_46,14901,-12.7005945071578
Pt_8_51,25031,-34.588675763458
Cu_25_25,14135,-7.70662304013968
Pt_20_60,22287,-45.0673733055592
Cu_1_68,13868,15.7062906846404
Ag_28_89,8335,27.8552947044373
Au_41_87,11963,-7.07056994363666
Ni_7_32,19704,-67.4226425737143
Ni_0_57,16264,-52.0927052311599
Ni_53_61,3701,-62.95
Au_49_85,12149,-0.153474617749453
Ag_23_36,8020,34.1069938987494
Ni_42_72,18462,-75.1315801106393
Ni_43_48,18485,-67.3549803718925
Au_46_72,12070,0.32342979311943
Pt_5_8,24377,-28.6330318972468
Pd_0_75,19972,-20.6707950420678
Pd_17_32,4327,-40.67
Ag_62_87,9884,21.3541201502085
Au_23_78,11273,10.1043291650712
Au_14_90,10819,9.52050823718309
Pt_16_72,21985,-33.0786655060947
Ag_77_87,10259,14.5451671555638
Pd_10_79,19996,-37.3032572604716
Pd_59_84,21035,-33.4527991823852
Pt_25_68,22569,-45.682740084827
Ag_5_58,9766,23.1237727180123
Ag_11_24,7214,20.1483379639685
Pt_10_25,6457,-40.43
Ni_71_85,19556,-50.7104345597327
Pd_31_33,5119,-39.05
Pt_15_45,21897,-38.4878700189292
Pt_18_33,22081,-37.5723929107189
Au_20_54,1098,3.93
Au_23_84,11279,21.1135638058186
Ag_22_54,7978,28.7493011914194
Ag_41_56,492,17.34
Pd_37_87,20572,-52.8177471868694
Ag_2_37,8410,10.6877096705139
Ag_42_50,9013,13.8786314800382
Cu_4_75,15120,-4.70807177573442
Pd_44_86,20726,-50.6066943518817
Ag_31_82,8551,21.0160197578371
Ag_1_28,7768,34.3576507307589
Au_32_61,1435,1.55
Pd_21_57,4620,-35.94
Ni_12_37,3425,-77.7051
Cu_23_67,14072,4.50108803063631
Ni_2_61,3599,-62.44
Au_2_63,1379,1.33
Ni_64_90,19338,-53.5915766991675
Cu_20_68,2511,-1.65
Au_43_90,12009,7.64770612120628
Au_16_62,10903,16.2025324776769
Au_0_42,10560,1.3516922108829
Ag_8_42,10441,13.4612918943167
Cu_1_54,13855,14.1652604565024
Pt_76_76,24810,-30.193016782403
Ni_13_82,16571,-63.4336679875851
Pd_74_78,21351,-32.8751601539552
Cu_8_45,16127,-3.51023641228676
Cu_7_47,15981,-10.4068734645844
Cu_12_46,2243,-12.25
Ni_63_74,19295,-64.2928075455129
Cu_22_63,14003,-2.39582076668739
Cu_11_82,13448,-14.6033592559397
Pt_62_75,24448,-47.1634973362088
Ag_52_81,9487,26.5870572850108
Cu_28_59,2693,8.43
Ni_41_88,18431,-75.3698283359408
Cu_81_88,16046,-6.42533818632364
Pd_5_34,6050,-39.03
Ag_59_84,9727,24.3940467946231
Pd_9_58,6412,-35.34
Au_44_69,1803,1.93
Pt_57_66,24240,-44.7292404808104
Ag_38_44,412,15.6555
Ni_36_69,18078,-70.4983662813902
Au_8_41,13241,8.6429851911962
Cu_14_37,13548,-14.0891004428267
Ag_1_85,7828,26.3654755055904
Ni_49_73,18764,-62.1227921098471
Pd_9_42,6396,-44.18
Ag_40_81,8965,18.4441319927573
Ag_2_57,8421,18.8842217326164
Cu_84_87,16069,-9.08409214019775
Au_11_41,10638,-0.314635664224625
Ag_79_88,10285,26.9667115285993
Cu_12_75,13490,-10.8890272751451
Pt_66_82,24554,-39.0967393070459
Pd_5_75,21045,-30.3199454583228
Au_36_74,11754,1.29778276756406
Au_40_86,11929,-5.9714385792613
Pt_18_86,22130,-43.7833342216909
Au_26_84,11403,5.3608959466219
Ni_4_64,18820,-50.827060457319
Au_47_83,12104,-2.61859077215195
Au_40_44,1688,-2.87003
Ag_18_83,7685,23.0792884454131
Ag_62_84,9881,24.9412339068949
Pd_13_27,4097,-34.37
Pd_8_52,6342,-30.2
Pd_11_21,3972,-32.92
Pd_18_45,4394,-30.29
Au_13_44,864,0.35
Pd_34_64,5266,-50.12
Pd_40_46,5524,-49.86
Pt_34_88,23151,-50.9713687188923
Ag_10_21,7145,14.2756788507104
Cu_57_82,15396,-4.9621744081378
Ni_22_55,3542,-48.2714
Ni_15_64,16683,-57.2147315815091
Pt_52_54,6880,-46.18
Pd_15_87,20099,-40.5745270960033
Ag_0_48,7088,30.6895390041173
Cu_7_26,15962,-8.8401562422514
Pd_19_76,20166,-36.2230562381446
Au_1_82,11098,8.2525572553277
Pt_2_90,22870,-36.1410377882421
Pt_3_4,23445,-26.2238981686532
Pt_27_52,6772,-44.79
Ni_46_55,18620,-68.0192642994225
Ag_30_59,8476,27.092826962471
Pt_23_50,22451,-37.7536271438003
Ni_28_32,3577,-50.0238
Ni_55_59,19006,-63.7722122520208
Ag_47_63,553,14.78
Cu_74_75,15860,-14.277099058032
Pd_48_49,5742,-48.17
Ni_37_80,18142,-69.2647080458701
Cu_20_90,13928,0.671664297580719
Pt_61_87,24437,-50.0606285594404
Pd_41_55,5561,-45.26
Cu_43_52,3059,-2.32
Au_70_87,12941,-4.68276934698224
Cu_18_52,13765,3.53984951972961
Pt_12_51,6512,-43.63
Pd_52_73,20890,-32.6739253178239
Pt_8_29,25015,-37.2431902252138
Au_1_71,11086,21.4053405709565
Pt_8_43,7012,-40.7
Ag_21_49,187,17.44
Cu_36_54,14589,-10.8459891304374
Pt_19_33,22143,-46.3125659823418
Ni_33_56,17899,-69.0862633176148
Cu_22_53,13994,-1.99385897442698
Au_45_66,12032,0.477089036256075
Pt_15_35,21888,-39.3732805550098
Ni_13_89,16578,-65.9891650043428
Au_20_79,11133,6.22199630364776
Ni_22_90,17217,-45.5718118175864
Ag_5_45,602,13.97
Ag_2_22,8398,13.1265819892287
Cu_32_86,14488,-11.3449195362628
Pt_27_55,6775,-43.9
Pt_40_71,23532,-41.1402630470693
Pd_10_53,3943,-33.59
Ag_52_68,9474,28.6911770440638
Pd_26_33,4835,-41.87
Pd_40_60,20634,-48.1662693023682
Ag_24_63,8099,22.9608891606331
Cu_60_67,3279,4.28
Pt_53_75,24131,-52.3865563906729
Cu_3_26,2972,-17.7295
Pd_48_56,5749,-45.32
Ag_43_63,9063,14.056742746383
Ag_33_81,8639,23.7796185016632
Ag_44_59,9102,12.4823519699276
Cu_55_58,15318,4.09629376605153
Pd_6_9,6231,-31.27
Pd_24_24,4733,-33.18
Au_40_57,1698,2.46
Ag_10_27,7150,11.9975478425622
Pd_20_71,4583,-25.36
Ni_57_86,19087,-74.9115840643644
Pd_6_63,6220,-37.92
Au_35_39,11721,3.07541683316231
Pd_18_76,20147,-22.5730839595199
Ag_41_68,8986,20.1435319744051
Cu_40_44,3003,-13.9769
Cu_41_48,3023,-16.7606
Pd_20_66,4578,-34.56
Pt_79_86,24859,-53.7335876300931
Pt_19_26,6637,-43.36
Au_3_56,1669,-1.06
Pt_1_35,22211,-36.6582225486636
Pt_35_86,23205,-49.5758068598807
Au_27_33,1255,-0.17
Ag_66_75,9976,22.4746864438057
Au_7_90,13151,10.2754881493747
Au_37_58,11786,3.20465803518891
Au_63_90,12724,0.853152919560671
Pt_16_90,22003,-27.1618181206286
Au_70_84,12938,8.28217601776123
Pt_25_49,6734,-46.58
Ag_87_87,10407,13.5821322128177
Ag_15_73,7489,17.7204150632024
Cu_38_75,14675,-7.48233135789633
Ag_3_45,8900,8.61346605047584
Pt_28_67,22718,-42.6307426020503
Au_48_80,12121,-1.79890973865986
Pd_60_68,6101,-39.59
Au_23_39,11247,7.32713392749429
Cu_54_82,15306,-5.16408681496978
Ni_50_52,3671,-62.93
Ag_47_68,556,18.16
Pt_11_16,21689,-32.3152415417135
Cu_40_75,14797,-15.0478706620634
Pd_32_42,5167,-49.41
Ag_36_86,8765,8.48878864571452
Pt_28_61,22712,-42.3690757937729
