Field,Record,Ligand_1,Ligand_2,Name,Sigma_i,Sigma_j,Sigma_ij,Rho,x0,Predval_A
Ag,R10_R3,R10,R3,Ag_R10_R3,0.8635763395483183,19.95471326932538,20.818289608873698,0.5879496339384096,20.70467479598086,32.944780550741946
Ag,R10_R4,R10,R4,Ag_R10_R4,0.8635763395483183,0.2370714737056329,1.1006478132539512,0.5879496339384096,20.70467479598086,21.35180027487863
Ag,R10_R5,R10,R5,Ag_R10_R5,0.8635763395483183,-1.3445142333640794,-0.48093789381576113,0.5879496339384096,20.70467479598086,20.421907537364774
Ag,R10_R6,R10,R6,Ag_R10_R6,0.8635763395483183,-0.1765572858634142,0.687019053684904,0.5879496339384096,20.70467479598086,21.10860739710361
Ag,R10_R7,R10,R7,Ag_R10_R7,0.8635763395483183,0.31307883173711387,1.176655171285432,0.5879496339384096,20.70467479598086,21.396488773209867
Ag,R10_R8,R10,R8,Ag_R10_R8,0.8635763395483183,10.3478936396416,11.211469979189918,0.5879496339384096,20.70467479598086,27.29645446615704
Ag,R10_R9,R10,R9,Ag_R10_R9,0.8635763395483183,13.723859477181083,14.587435816729402,0.5879496339384096,20.70467479598086,29.281352344526958
Ag,R10_S1,R10,S1,Ag_R10_S1,0.8635763395483183,14.866904415760592,15.73048075530891,0.5879496339384096,20.70467479598086,29.953405197739933
Ag,R10_S2,R10,S2,Ag_R10_S2,0.8635763395483183,-4.532983594283895,-3.6694072547355763,0.5879496339384096,20.70467479598086,18.547248143788135
Ag,R10_S3,R10,S3,Ag_R10_S3,0.8635763395483183,-9.072089386446372,-8.208513046898053,0.5879496339384096,20.70467479598086,15.878482554878492
Ag,R10_S4,R10,S4,Ag_R10_S4,0.8635763395483183,-8.232887404129688,-7.369311064581369,0.5879496339384096,20.70467479598086,16.371891053181972
Ag,R10_S5,R10,S5,Ag_R10_S5,0.8635763395483183,0.0401816295133296,0.9037579690616478,0.5879496339384096,20.70467479598086,21.236038963059578
Ag,R10_S6,R10,S6,Ag_R10_S6,0.8635763395483183,-8.841235349302753,-7.977659009754435,0.5879496339384096,20.70467479598086,16.014213101510286
Ag,R11_R2,R11,R2,Ag_R11_R2,-0.38101781795195944,-2.987423267400209,-3.3684410853521682,0.5879496339384096,20.70467479598086,18.724201092904956
Ag,R11_R3,R11,R3,Ag_R11_R3,-0.38101781795195944,19.95471326932538,19.57369545137342,0.5879496339384096,20.70467479598086,32.213021871437775
Ag,R11_R4,R11,R4,Ag_R11_R4,-0.38101781795195944,0.2370714737056329,-0.14394634424632655,0.5879496339384096,20.70467479598086,20.62004159557446
